WEEK;Monday 27 July 2020;;;Tuesday 28 July 2020;;;Wednesday 29 July 2020;;;Thursday 30 July 2020;;;Friday 31 July 2020;;;Saturday 1 August 2020;;;Sunday 2 August 2020;;;
31;;;;;;;;;;;;;;;;;;;;;;
Person1;14:15;18:00;03:45;;;00:00;07:45;11:15;03:30;07:45;11:15;03:30;07:45;11:15;03:30;;;00:00;;;00:00;
;18:45;21:00;02:15;;;00:00;12:00;14:30;02:30;12:00;14:30;02:30;12:00;14:30;02:30;;;00:00;;;00:00;
;;;06:00;  ;;00:00;;;06:00;;;06:00;;;06:00;  ;;00:00;  ;;00:00;24:00:00
Person2;07:45;11:15;03:30;07:45;11:15;03:30;;;00:00;;;00:00;;;00:00;10:15;15:45;05:30;;;00:00;
;12:00;14:30;02:30;12:00;14:30;02:30;;;00:00;;;00:00;;;00:00;16:30;21:00;04:30;14:00;21:00;07:00;
;;;06:00;;;06:00;  ;;00:00;  ;;00:00;  ;;00:00;;;10:00;;;07:00;29:00:00
RACHEL;;;00:00;14:15;18:00;03:45;14:15;18:00;03:45;14:15;18:00;03:45;;;00:00;;;00:00;;;00:00;
;;;00:00;18:45;21:00;02:15;18:45;21:00;02:15;18:45;21:00;02:15;;;00:00;;;00:00;;;00:00;
;  ;;00:00;;;06:00;;;06:00;;;06:00;  ;;00:00;  ;;00:00;  ;;00:00;18:00
Person4;;;00:00;;;00:00;;;00:00;;;00:00;;;00:00;;;00:00;;;00:00;
;;;00:00;;;00:00;14:30;19:15;04:45;14:30;19:15;04:45;14:30;19:15;04:45;;;00:00;;;00:00;
;  ;;00:00;  ;;00:00;;;04:45;;;04:45;;;04:45;;;00:00;;;00:00;14:15
Person5;;;00:00;;;;;;00:00;;;00:00;;;00:00;;;00:00;10:30;13:00;02:30;
;14:30;19:15;04:45;14:30;19:15;04:45;;;00:00;;;00:00;;;00:00;14:30;19:15;04:45;14:30;19:15;04:45;
;;;04:45;;;04:45;  ;;00:00;  ;;00:00;  ;;00:00;;;04:45;;;07:15;21:30
